Getting Data...
finding optimal breakout day len and atr open...
netR: -32.82238505753425, days: 2, open_atr: 4.2
netR: -33.019191017988746, days: 2, open_atr: 4.3
netR: -33.98333514271828, days: 2, open_atr: 4.4
netR: 81.13058212254046, days: 3, open_atr: 0.5
netR: 57.51855460816287, days: 3, open_atr: 0.6
netR: 45.91441912567526, days: 3, open_atr: 0.7
netR: 38.71239105379038, days: 3, open_atr: 0.8
netR: 28.09122610059413, days: 3, open_atr: 0.9
netR: 19.57037726668431, days: 3, open_atr: 1.0
netR: 12.446499977370026, days: 3, open_atr: 1.1
netR: 6.400159198681431, days: 3, open_atr: 1.2
netR: 0.9960958320461862, days: 3, open_atr: 1.3
netR: -4.391608573674212, days: 3, open_atr: 1.4
netR: -8.343866260436675, days: 3, open_atr: 1.5
netR: -12.935181081630434, days: 3, open_atr: 1.6
netR: -18.600124697620142, days: 3, open_atr: 1.7
netR: -20.03831609225588, days: 3, open_atr: 1.8
netR: -17.733867302806676, days: 3, open_atr: 1.9
netR: -13.357875689172564, days: 3, open_atr: 2.0
netR: -11.483926102402311, days: 3, open_atr: 2.1
netR: -8.468694625910679, days: 3, open_atr: 2.2
netR: -9.81362700312024, days: 3, open_atr: 2.3
netR: -6.706039898970538, days: 3, open_atr: 2.4
netR: -9.8497509961419, days: 3, open_atr: 2.5
netR: -12.183536651872751, days: 3, open_atr: 2.6
netR: -16.29343608926549, days: 3, open_atr: 2.7
netR: -19.58104325956986, days: 3, open_atr: 2.8
netR: -22.073065463200134, days: 3, open_atr: 2.9
netR: -23.97710770682426, days: 3, open_atr: 3.0
netR: -25.86350322895195, days: 3, open_atr: 3.1
netR: -29.049902673792435, days: 3, open_atr: 3.2
netR: -31.120107758850683, days: 3, open_atr: 3.3
netR: -33.55431824433937, days: 3, open_atr: 3.4
netR: -32.730646755010255, days: 3, open_atr: 3.5
netR: -31.176104225202536, days: 3, open_atr: 3.6
netR: -30.31091767033705, days: 3, open_atr: 3.7
netR: -28.532068517597413, days: 3, open_atr: 3.8
netR: -29.0239414626303, days: 3, open_atr: 3.9
netR: -32.05052631176473, days: 3, open_atr: 4.0
netR: -34.71259878760716, days: 3, open_atr: 4.1
netR: -36.386764461827134, days: 3, open_atr: 4.2
netR: -36.261877873576566, days: 3, open_atr: 4.3
netR: -37.64218802288662, days: 3, open_atr: 4.4
netR: 60.488731666490004, days: 4, open_atr: 0.5
netR: 40.93849046784925, days: 4, open_atr: 0.6
netR: 27.85389854694231, days: 4, open_atr: 0.7
netR: 22.85039313253276, days: 4, open_atr: 0.8
netR: 14.125690690256809, days: 4, open_atr: 0.9
netR: 7.205196094526127, days: 4, open_atr: 1.0
netR: 1.5602355219906405, days: 4, open_atr: 1.1
netR: -3.0962079921707315, days: 4, open_atr: 1.2
netR: -7.170494012227001, days: 4, open_atr: 1.3
netR: -11.897363702691335, days: 4, open_atr: 1.4
netR: -14.359335051069223, days: 4, open_atr: 1.5
netR: -18.581272352480337, days: 4, open_atr: 1.6
netR: -23.05463186594828, days: 4, open_atr: 1.7
netR: -23.74995203747378, days: 4, open_atr: 1.8
netR: -20.711506209528576, days: 4, open_atr: 1.9
netR: -16.573862489390404, days: 4, open_atr: 2.0
netR: -13.733226805226296, days: 4, open_atr: 2.1
netR: -10.289148118902986, days: 4, open_atr: 2.2
netR: -12.83956755283634, days: 4, open_atr: 2.3
netR: -13.953920610255222, days: 4, open_atr: 2.4
netR: -17.285272565258634, days: 4, open_atr: 2.5
netR: -20.397685585074797, days: 4, open_atr: 2.6
netR: -23.57622528285206, days: 4, open_atr: 2.7
netR: -25.936189252716503, days: 4, open_atr: 2.8
netR: -27.75161822409619, days: 4, open_atr: 2.9
netR: -29.194288396830558, days: 4, open_atr: 3.0
netR: -31.040260775382933, days: 4, open_atr: 3.1
netR: -33.6285877710783, days: 4, open_atr: 3.2
netR: -36.10642497656229, days: 4, open_atr: 3.3
netR: -37.97041049677209, days: 4, open_atr: 3.4
netR: -36.44950440067595, days: 4, open_atr: 3.5
netR: -36.00699339901627, days: 4, open_atr: 3.6
netR: -34.3207894281755, days: 4, open_atr: 3.7
netR: -32.539810111422334, days: 4, open_atr: 3.8
netR: -32.99521275636172, days: 4, open_atr: 3.9
netR: -35.56606751695182, days: 4, open_atr: 4.0
netR: -37.58868235814796, days: 4, open_atr: 4.1
netR: -38.85432246964823, days: 4, open_atr: 4.2
netR: -39.537696356074505, days: 4, open_atr: 4.3
netR: -40.60796439451904, days: 4, open_atr: 4.4
netR: 59.463693830596604, days: 5, open_atr: 0.5
netR: 41.67378737457158, days: 5, open_atr: 0.6
netR: 26.830567351162987, days: 5, open_atr: 0.7
netR: 22.47733734852614, days: 5, open_atr: 0.8
netR: 14.20644810167048, days: 5, open_atr: 0.9
netR: 7.8232203058083, days: 5, open_atr: 1.0
netR: 2.8788361670722593, days: 5, open_atr: 1.1
netR: -0.979219219104492, days: 5, open_atr: 1.2
netR: -5.455264144027024, days: 5, open_atr: 1.3
netR: -10.146260364259344, days: 5, open_atr: 1.4
netR: -13.518804170620335, days: 5, open_atr: 1.5
netR: -16.914807310211415, days: 5, open_atr: 1.6
netR: -21.16879575821368, days: 5, open_atr: 1.7
netR: -21.036424772191513, days: 5, open_atr: 1.8
netR: -18.240006995904977, days: 5, open_atr: 1.9
netR: -13.327486759874006, days: 5, open_atr: 2.0
netR: -10.212836670445023, days: 5, open_atr: 2.1
netR: -6.36716416577809, days: 5, open_atr: 2.2
netR: -8.151561781298788, days: 5, open_atr: 2.3
netR: -11.47431256545827, days: 5, open_atr: 2.4
netR: -14.09769985932468, days: 5, open_atr: 2.5
netR: -17.03184800147066, days: 5, open_atr: 2.6
netR: -19.60933721513444, days: 5, open_atr: 2.7
netR: -21.98139733543779, days: 5, open_atr: 2.8
netR: -23.2311438550386, days: 5, open_atr: 2.9
netR: -24.233503279485312, days: 5, open_atr: 3.0
netR: -25.913462940836666, days: 5, open_atr: 3.1
netR: -28.545727495359394, days: 5, open_atr: 3.2
netR: -30.501259470829492, days: 5, open_atr: 3.3
netR: -31.834400467564475, days: 5, open_atr: 3.4
netR: -30.223332060091668, days: 5, open_atr: 3.5
netR: -29.237218866334064, days: 5, open_atr: 3.6
netR: -27.034044947694806, days: 5, open_atr: 3.7
netR: -25.64610621817802, days: 5, open_atr: 3.8
netR: -25.82312072641717, days: 5, open_atr: 3.9
netR: -27.952887343529888, days: 5, open_atr: 4.0
netR: -29.642916376335492, days: 5, open_atr: 4.1
