Getting Data...
netR,daysToBreakout,exitParam
-0.9011321249508304,18,28
-1.8254870177804057,18,29
-2.5469662976205183,18,30
-8.341743099084457,18,31
-14.139389011495023,18,32
9.787361275228575,19,3
6.2471666649943645,19,4
4.751258315893491,19,5
3.9895357916031813,19,6
3.834601738970738,19,7
6.600326060797769,19,8
6.747998765094284,19,9
5.706110797700239,19,10
15.184822929707625,19,11
14.51659462340383,19,12
15.581359584164975,19,13
13.770379543477553,19,14
13.019721079155875,19,15
14.681479599155594,19,16
13.15720306403093,19,17
11.601227602579815,19,18
12.532458440432134,19,19
14.955711786394914,19,20
0.04762558911251524,19,21
-0.23275622635878834,19,22
-0.4324549292804396,19,23
-4.127800676240903,19,24
-4.5098892653030465,19,25
-1.432971041699797,19,26
-0.41866081060859817,19,27
-0.9011321249508304,19,28
-1.8254870177804057,19,29
-2.5469662976205183,19,30
-8.341743099084457,19,31
-14.139389011495023,19,32
13.416559209462097,20,3
7.095739353929969,20,4
6.834107325232676,20,5
7.293893877800546,20,6
7.489033404600975,20,7
8.7756524278831,20,8
9.23252387954482,20,9
8.471335176859512,20,10
17.625151103328935,20,11
16.406885371743968,20,12
17.785703301825862,20,13
16.220398004187366,20,14
15.604637405129306,20,15
17.29203941240027,20,16
15.579953555199026,20,17
13.943656281402754,20,18
14.614379976977332,20,19
14.955711786394914,20,20
0.04762558911251524,20,21
-0.23275622635878834,20,22
-0.4324549292804396,20,23
-4.127800676240903,20,24
-4.5098892653030465,20,25
-1.432971041699797,20,26
-0.41866081060859817,20,27
-0.9011321249508304,20,28
-1.8254870177804057,20,29
-2.5469662976205183,20,30
-8.341743099084457,20,31
-14.139389011495023,20,32
13.675219410463463,21,3
8.13165053128258,21,4
8.950732518158404,21,5
8.360777119102854,21,6
6.716422236913929,21,7
7.345325689840971,21,8
7.972947502786502,21,9
7.290492237409852,21,10
16.550826109338306,21,11
15.227019870417156,21,12
16.684805138140455,21,13
15.110268127459182,21,14
14.52592692731519,21,15
16.259215799622403,21,16
14.597544423596595,21,17
12.961886319270166,21,18
13.652596454958326,21,19
14.06423812891633,21,20
0.04762558911251524,21,21
-0.23275622635878834,21,22
-0.4324549292804396,21,23
-4.127800676240903,21,24
-4.5098892653030465,21,25
-1.432971041699797,21,26
-0.41866081060859817,21,27
-0.9011321249508304,21,28
-1.8254870177804057,21,29
-2.5469662976205183,21,30
-8.341743099084457,21,31
-14.139389011495023,21,32
4.5460154385110085,22,3
2.452014914765087,22,4
4.126088117820693,22,5
4.8349890338563535,22,6
6.354428832294662,22,7
6.641429049091984,22,8
7.783990824781892,22,9
7.092770857500817,22,10
17.179208977546576,22,11
15.622844894063096,22,12
17.04186487796792,22,13
15.72353809682512,22,14
15.155038245787566,22,15
17.13674633019629,22,16
15.546462399915207,22,17
13.99847909711391,22,18
14.912105785172763,22,19
15.139156356849021,22,20
1.1782251261695698,22,21
-0.23275622635878834,22,22
-0.4324549292804396,22,23
