Getting Data...
netR,daysToBreakout,exitParam
-3.203287458314982,22,16
-3.2730341414273445,22,17
-4.0165120513708885,22,18
-2.4086365705504917,22,19
-2.794595435029282,22,20
-3.6308682016572007,22,21
-5.045431850264909,22,22
-4.2894585464679515,22,23
-2.333151432992563,22,24
-3.0903096322574144,22,25
1.9553021144818858,22,26
2.6142239250817205,22,27
2.7730364840302384,22,28
1.8324749813142525,22,29
-5.749425605396811,22,30
-8.40946563221166,22,31
-11.888572176400272,22,32
-8.720341664509737,23,3
-2.7789898461733693,23,4
3.1867496480754944,23,5
-0.6863751035547312,23,6
-0.7864498777322577,23,7
5.369020736849116,23,8
5.907072722919672,23,9
1.591866073160733,23,10
-1.556304204117847,23,11
-2.2748667157108233,23,12
-2.8745474558874404,23,13
-3.252871748602514,23,14
-3.2203088257644836,23,15
-3.099185261769094,23,16
-2.9602870628443707,23,17
-3.4459008477241584,23,18
-3.103126457469145,23,19
-3.6059054853420043,23,20
-4.2689442340924675,23,21
-5.60914870142896,23,22
-4.2894585464679515,23,23
-2.333151432992563,23,24
-3.0903096322574144,23,25
1.9553021144818858,23,26
2.6142239250817205,23,27
2.7730364840302384,23,28
1.8324749813142525,23,29
-5.749425605396811,23,30
-8.40946563221166,23,31
-11.888572176400272,23,32
-9.660577667907948,24,3
-2.5525195804273584,24,4
3.8358556900641947,24,5
0.39811087414002455,24,6
0.680382804063532,24,7
6.176559994138,24,8
6.483953461997855,24,9
2.4695204427360107,24,10
-0.7200091666077117,24,11
-1.6728357240976752,24,12
-2.2887894135120037,24,13
-2.1181115022463333,24,14
-1.9087000560325884,24,15
-1.9075619559774397,24,16
-1.7275453950800361,24,17
-2.1907180891943443,24,18
-1.8693215981702627,24,19
-2.2676393553727543,24,20
-2.925871327537898,24,21
-4.2389328086186175,24,22
-2.855401339451761,24,23
-2.333151432992563,24,24
-3.0903096322574144,24,25
1.9553021144818858,24,26
2.6142239250817205,24,27
2.7730364840302384,24,28
1.8324749813142525,24,29
-4.749425605396811,24,30
-7.40946563221166,24,31
-10.888572176400272,24,32
-8.155142740184909,25,3
-1.4123144643317929,25,4
