@RELATION 3_days_hlc

@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE uptrend {yes,no}
@DATA
1.0,0.0,0.8782610812850864,0.704344862008938,0.21739092627665252,0.46086789414278906,0.43478185255330504,-0.286957761812598,0.39130105860685593,0.18260750850867977,-1.4521696484006346,0.13043629489338993,yes
1.0,0.0,0.9479134874098786,0.6979153103284432,-0.5000046875048784,0.5520818250852431,0.3437441080667798,-0.23958774957056703,0.052078179248098974,0.020829188363744335,-0.8437571289136806,-0.0312573242263771,no
1.0,0.0,0.5505680343461001,0.426972389856613,-0.651679383909417,0.37078918066199185,0.10112820351482754,-1.1910103269778836,-0.05617534401723246,-0.2808991920215631,-0.9101111349563205,-0.5955051634889498,no
1.0,0.0,0.4444483726229794,1.9292927864500806,1.03030208141835,1.5252576267830846,1.4141462912046294,0.4444483726229794,1.3636381083598117,1.121215396394737,-0.04040513213156948,0.9798009692948982,no
1.0,0.0,0.7961788510693268,0.5350296401462638,-0.09554273601448134,0.18471413039116708,1.121016000647131,0.5541372956288491,0.8662425899634273,0.7961788510693268,0.18471413039116708,0.7643297861973088,no
1.0,0.0,0.7083351273123268,0.722226774685039,-1.458324363438405,0.2777843364106317,-0.29166487268769287,-1.6666601851942102,-1.0555457561864636,0.9861083526272879,-0.24999965277827077,0.4305619019973462,no
1.0,0.0,0.2682940660329708,1.1829287700785203,0.7439035023801894,1.054880521268615,1.0609793054751908,0.1036622583306456,0.8658578450352702,0.6158552535702755,0.01219756841315153,0.2804922442025901,no
1.0,0.0,0.9545461334115953,0.8116877846183197,-0.25324593945069007,0.03246945943541834,1.006494800977402,0.5389619876870245,0.8701319025117544,0.8766267034891564,-0.14285250464123192,0.6688352799770878,no
1.0,0.0,0.6190474246833707,1.4625869221234964,0.41496291821599474,1.4149683604150745,1.2653065250606486,0.1496563931553461,0.4489787033144399,1.4693910315280245,0.979592433710621,1.3265339858530107,no
1.0,0.0,0.051660166664269085,1.0664206887161183,0.5239872782240871,0.8597792840513967,1.3173432905325781,0.749077029179715,1.2915133917023536,1.2103318119305555,0.6051659059652778,0.7675283275012286,no
1.0,0.0,0.04528411676670317,1.954715883233297,0.9320755229618669,0.9849052944110972,2.0226403602714247,1.4679260619425933,1.8113205197580993,2.2792439401932536,1.698111925953263,2.252829243147738,no
1.0,0.0,0.3599930000000029,2.3299939999999992,-0.3200080000000014,-0.20000500000000443,4.859993000000003,2.1499939999999924,2.2899929999999955,5.0399929999999955,3.5699989999999957,4.479995000000002,no
1.0,0.0,0.18880909090908446,0.9580440559440587,0.25874335664335585,0.5104867132867158,1.8881097902097974,0.034961538461535546,0.11887972027971568,3.6573398601398788,1.762235664335666,1.8601370629370673,no
1.0,0.0,0.8571428571428571,1.2228565714285733,0.4057137142857203,0.5599977142857142,1.1885725714285758,0.6171440000000042,0.8228542857142916,1.9485691428571468,0.4342822857142892,0.5028554285714303,no
1.0,0.0,0.2820500547864153,0.9273511578652243,0.17948663160107653,0.8205133683989174,1.0940176820815064,0.4829055263342345,0.5982890569043677,1.0683778946630682,0.6410267367978408,0.7948701621712189,no
