@RELATION 5_days_hlc

@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE uptrend {yes,no}
@DATA
1.0,0.0,0.2571553878088278,-1.1000104286161287,-2.1999994285689852,-1.3285671224305262,-1.0428558979538538,-2.3714330204272325,-1.77143330614275,-1.0285772653311376,-3.6000111429049024,-1.300011285762641,-1.6285769796156402,-3.200010857189405,-1.7857219388083188,-0.8142777754761635,-2.1714335918582472,-2.071433163284991,no
1.0,0.0,0.8000002352966151,1.3294140761490503,0.5058794740179623,0.717655834002971,-0.40001717665246883,-1.3058961800772175,-0.5882415225573056,-0.3529484429835231,-1.4470776749401026,-0.952957148958065,-0.3411894949475984,-2.4588542702217095,-0.5647248029684984,-0.8353100209296528,-2.1294401940726764,-0.9647243323753015,no
1.0,0.0,0.8362057372216002,0.7155164982189619,-0.01723183713160456,0.5689670035620517,0.9568941141582232,0.3534505053430775,0.5086292805886948,-0.31034375743533454,-0.9741250892238493,-0.4482648335695529,-0.2758542211923555,-1.077575594566933,-0.7155096016910486,-0.26723787159355783,-1.8189532105061943,-0.43103299643794835,no
1.0,0.0,0.8421002374432601,1.4887165583209565,0.6165344112264559,1.345858126529131,1.2405951269246085,0.6015051105186303,1.1127772740191304,1.4511203742550651,0.9248076318682175,1.060151789245435,0.3458581265291309,-0.23308010063142304,0.22556582621680427,0.375939284301826,-0.3233077844995648,-0.0075202894431737775,yes
1.0,0.0,0.30985772665462746,0.1056391737258815,-0.8309733784127233,-0.04225172586446632,0.5633772366872679,-0.2535195100326404,0.4295742362922073,0.33098358958685065,-0.2675961417254555,0.21126778416817407,0.5281641787786407,0.035213057908627166,0.16197809456675183,-0.5070383158463976,-1.0492791263178434,-0.6197055942445493,no
1.0,0.0,0.9602316826080014,0.7045506973319183,-0.10227762140099024,0.14772436724216398,-0.017044944471403627,-0.7727304752175328,-0.13636751034378136,0.35227108728778994,-0.30682434144661624,0.24431503743762456,0.16476931171355147,-0.3181817665287526,0.06817920970184463,0.3238601949779278,-0.07386672909112804,0.028410892309862205,yes
1.0,0.0,0.8571435992540122,0.05193869122759065,-2.2337559285406257,-0.03895953787253528,-0.623368190295115,-2.46753133749956,-1.8961031371265475,-2.2727154664131612,-3.999981818276278,-2.5454504132445934,-1.4285717996270246,-2.9350626749990827,-1.675326361940977,-1.857143599254049,-2.9610222804037423,-2.0779190757450707,no
1.0,0.0,1.0,0.6310773117255541,-0.11650011310689459,0.5242810915350362,-0.07767192006980468,-1.7864056178695111,-0.14562538410230677,-0.5825160995301806,-1.9611708360881834,-1.5339840135766865,-1.8155308888649233,-3.1067962201904904,-2.0194213780789805,-1.1844681402603225,-2.3106867094045476,-1.368936280520645,no
1.0,0.0,0.49606536672326323,0.7637779093609124,-0.04724237089017619,0.7637779093609124,0.4645741273255864,-0.14172632527141335,0.37796022689691555,-0.11023587327282933,-1.4960535557368262,-0.16534751071650144,-0.5196747411819143,-1.6377916919946767,-1.29133451548183,-1.5196747411819143,-2.5669171120720904,-1.6850340628848304,no
1.0,0.0,0.9555630370869027,1.8333388889259332,0.4222139258706119,1.1222241481610011,1.5,0.3555490369935662,1.5,1.077786074129388,0.22222037035802228,0.9555630370869027,0.2666573332711195,-1.688904592697299,0.18888792591949943,-0.31111207408050057,-1.8889148149876882,-1.400020444580747,no
